package_code,market_code,exposure_units
PKG-000,MKT-000,17
PKG-000,MKT-001,53
PKG-000,MKT-002,97
PKG-000,MKT-003,94
PKG-000,MKT-004,42
PKG-001,MKT-000,75
PKG-001,MKT-001,88
PKG-001,MKT-002,79
PKG-001,MKT-003,76
PKG-001,MKT-004,99
PKG-002,MKT-000,9
PKG-002,MKT-001,43
PKG-002,MKT-002,81
PKG-002,MKT-003,12
PKG-002,MKT-004,87
PKG-003,MKT-000,87
PKG-003,MKT-001,26
PKG-003,MKT-002,57
PKG-003,MKT-003,1
PKG-003,MKT-004,46
PKG-004,MKT-000,58
PKG-004,MKT-001,31
PKG-004,MKT-002,28
PKG-004,MKT-003,50
PKG-004,MKT-004,24
PKG-005,MKT-000,79
PKG-005,MKT-001,77
PKG-005,MKT-002,97
PKG-005,MKT-003,85
PKG-005,MKT-004,85
PKG-006,MKT-000,69
PKG-006,MKT-001,10
PKG-006,MKT-002,58
PKG-006,MKT-003,86
PKG-006,MKT-004,85
PKG-007,MKT-000,37
PKG-007,MKT-001,77
PKG-007,MKT-002,44
PKG-007,MKT-003,9
PKG-007,MKT-004,74
PKG-008,MKT-000,88
PKG-008,MKT-001,71
PKG-008,MKT-002,37
PKG-008,MKT-003,86
PKG-008,MKT-004,13
PKG-009,MKT-000,75
PKG-009,MKT-001,22
PKG-009,MKT-002,93
PKG-009,MKT-003,79
PKG-009,MKT-004,48
PKG-010,MKT-000,45
PKG-010,MKT-001,76
PKG-010,MKT-002,2
PKG-010,MKT-003,58
PKG-010,MKT-004,79
PKG-011,MKT-000,35
PKG-011,MKT-001,41
PKG-011,MKT-002,77
PKG-011,MKT-003,10
PKG-011,MKT-004,50
PKG-012,MKT-000,73
PKG-012,MKT-001,65
PKG-012,MKT-002,73
PKG-012,MKT-003,83
PKG-012,MKT-004,57
PKG-013,MKT-000,26
PKG-013,MKT-001,93
PKG-013,MKT-002,59
PKG-013,MKT-003,75
PKG-013,MKT-004,44
PKG-014,MKT-000,39
PKG-014,MKT-001,50
PKG-014,MKT-002,43
PKG-014,MKT-003,91
PKG-014,MKT-004,3
PKG-015,MKT-000,78
PKG-015,MKT-001,69
PKG-015,MKT-002,64
PKG-015,MKT-003,51
PKG-015,MKT-004,33
PKG-016,MKT-000,85
PKG-016,MKT-001,44
PKG-016,MKT-002,75
PKG-016,MKT-003,89
PKG-016,MKT-004,43
PKG-017,MKT-000,58
PKG-017,MKT-001,61
PKG-017,MKT-002,6
PKG-017,MKT-003,97
PKG-017,MKT-004,58
PKG-018,MKT-000,72
PKG-018,MKT-001,58
PKG-018,MKT-002,5
PKG-018,MKT-003,57
PKG-018,MKT-004,8
PKG-019,MKT-000,8
PKG-019,MKT-001,63
PKG-019,MKT-002,78
PKG-019,MKT-003,47
PKG-019,MKT-004,68
PKG-020,MKT-000,46
PKG-020,MKT-001,46
PKG-020,MKT-002,71
PKG-020,MKT-003,42
PKG-020,MKT-004,59
PKG-021,MKT-000,11
PKG-021,MKT-001,63
PKG-021,MKT-002,12
PKG-021,MKT-003,65
PKG-021,MKT-004,23
PKG-022,MKT-000,55
PKG-022,MKT-001,13
PKG-022,MKT-002,30
PKG-022,MKT-003,88
PKG-022,MKT-004,75
PKG-023,MKT-000,39
PKG-023,MKT-001,97
PKG-023,MKT-002,7
PKG-023,MKT-003,59
PKG-023,MKT-004,96
PKG-024,MKT-000,57
PKG-024,MKT-001,14
PKG-024,MKT-002,69
PKG-024,MKT-003,22
PKG-024,MKT-004,87
PKG-025,MKT-000,96
PKG-025,MKT-001,45
PKG-025,MKT-002,36
PKG-025,MKT-003,100
PKG-025,MKT-004,7
PKG-026,MKT-000,87
PKG-026,MKT-001,32
PKG-026,MKT-002,73
PKG-026,MKT-003,16
PKG-026,MKT-004,54
PKG-027,MKT-000,16
PKG-027,MKT-001,96
PKG-027,MKT-002,19
PKG-027,MKT-003,70
PKG-027,MKT-004,38
PKG-028,MKT-000,27
PKG-028,MKT-001,36
PKG-028,MKT-002,15
PKG-028,MKT-003,70
PKG-029,MKT-000,26
PKG-029,MKT-001,40
PKG-029,MKT-002,16
PKG-029,MKT-003,99
PKG-029,MKT-004,72
PKG-030,MKT-000,93
PKG-030,MKT-001,10
PKG-030,MKT-002,84
PKG-030,MKT-003,65
PKG-030,MKT-004,5
PKG-031,MKT-000,44
PKG-031,MKT-001,96
PKG-031,MKT-002,55
PKG-031,MKT-003,66
PKG-031,MKT-004,2
PKG-032,MKT-000,79
PKG-032,MKT-001,99
PKG-032,MKT-002,32
PKG-032,MKT-003,85
PKG-032,MKT-004,76
PKG-033,MKT-000,12
PKG-033,MKT-001,58
PKG-033,MKT-002,53
PKG-033,MKT-003,68
PKG-033,MKT-004,63
PKG-034,MKT-000,8
PKG-034,MKT-001,87
PKG-034,MKT-002,43
PKG-034,MKT-003,97
PKG-034,MKT-004,94
PKG-035,MKT-000,95
PKG-035,MKT-001,15
PKG-035,MKT-002,21
PKG-035,MKT-003,33
PKG-035,MKT-004,55
PKG-036,MKT-000,2
PKG-036,MKT-001,91
PKG-036,MKT-002,73
PKG-036,MKT-003,80
PKG-036,MKT-004,41
PKG-037,MKT-000,15
PKG-037,MKT-001,65
PKG-037,MKT-003,16
PKG-037,MKT-004,39
PKG-038,MKT-000,38
PKG-038,MKT-001,6
PKG-038,MKT-002,59
PKG-038,MKT-003,87
PKG-038,MKT-004,19
PKG-039,MKT-000,15
PKG-039,MKT-001,96
PKG-039,MKT-002,48
PKG-039,MKT-003,60
PKG-039,MKT-004,31
