Channel_A_ID,Channel_B_ID
C0001,C0007
C0002,C0008
C0003,C0009
C0004,C0010
C0005,C0011
C0006,C0012
C0013,C0025
C0014,C0026
C0015,C0027
C0016,C0028
C0017,C0029
C0018,C0030
C0013,C0031
C0014,C0032
C0015,C0033
C0016,C0034
C0017,C0035
C0018,C0036
C0025,C0037
C0026,C0038
C0027,C0039
C0028,C0040
C0029,C0041
C0030,C0042
C0025,C0043
C0026,C0044
C0027,C0045
C0028,C0046
C0029,C0047
C0030,C0048
C0049,C0055
C0050,C0056
C0051,C0057
C0052,C0058
C0053,C0059
C0054,C0060
C0055,C0061
C0056,C0062
C0057,C0063
C0058,C0064
C0059,C0065
C0060,C0066
C0049,C0061
C0050,C0062
C0051,C0063
C0052,C0064
C0053,C0065
C0054,C0066
C0061,C0067
C0062,C0068
C0063,C0069
C0064,C0070
C0065,C0071
C0066,C0072
C0073,C0079
C0074,C0080
C0075,C0081
C0076,C0082
C0077,C0083
C0078,C0084
C0073,C0085
C0074,C0086
C0075,C0087
C0076,C0088
C0077,C0089
C0078,C0090
C0019,C0079
C0020,C0080
C0021,C0081
C0022,C0082
C0023,C0083
C0024,C0084
C0037,C0079
C0038,C0080
C0039,C0081
C0040,C0082
C0041,C0083
C0042,C0084
C0079,C0103
C0080,C0104
C0081,C0105
C0082,C0106
C0083,C0107
C0084,C0108
C0007,C0085
C0008,C0086
C0009,C0087
C0010,C0088
C0011,C0089
C0012,C0090
C0043,C0085
C0044,C0086
C0045,C0087
C0046,C0088
C0047,C0089
C0048,C0090
C0079,C0091
C0080,C0092
C0081,C0093
C0082,C0094
C0083,C0095
C0084,C0096
C0085,C0091
C0086,C0092
C0087,C0093
C0088,C0094
C0089,C0095
C0090,C0096
C0079,C0097
C0080,C0098
C0081,C0099
C0082,C0100
C0083,C0101
C0084,C0102
C0085,C0097
C0086,C0098
C0087,C0099
C0088,C0100
C0089,C0101
C0090,C0102
C0031,C0103
C0032,C0104
C0033,C0105
C0034,C0106
C0035,C0107
C0036,C0108
C0073,C0103
C0074,C0104
C0075,C0105
C0076,C0106
C0077,C0107
C0078,C0108
C0097,C0109
C0098,C0110
C0099,C0111
C0100,C0112
C0101,C0113
C0102,C0114
C0109,C0115
C0110,C0116
C0111,C0117
C0112,C0118
C0113,C0119
C0114,C0120
C0133,C0139
C0134,C0140
C0135,C0141
C0136,C0142
C0137,C0143
C0138,C0144
C0121,C0145
C0122,C0146
C0123,C0147
C0124,C0148
C0125,C0149
C0126,C0150
C0127,C0151
C0128,C0152
C0129,C0153
C0130,C0154
C0131,C0155
C0132,C0156
