requirement_id,rhs,sense_id
0,17.0,1
1,17.0,1
2,32.0,1
3,30.0,1
4,46.0,1
5,46.0,1
6,42.0,1
7,15.0,1
8,15.0,1
9,3.0,1
10,24.0,1
11,3.0,1
12,12.0,1
13,216.0,1
14,242.0,1
15,239.0,1
16,257.0,1
17,258.0,1
18,315.0,1
19,315.0,1
20,241.0,1
21,210.0,1
22,208.0,1
23,145.0,1
24,111.0,1
25,187.0,1
26,219.0,1
27,194.0,1
28,207.0,1
29,16.0,1
30,16.0,1
31,16.0,1
32,232.0,1
33,252.0,1
34,243.0,1
35,258.0,1
36,259.0,1
37,316.0,1
38,316.0,1
39,27.0,1
40,27.0,1
41,27.0,1
42,7.0,1
43,7.0,1
44,194.0,1
45,193.0,1
46,191.0,1
47,182.0,1
48,163.0,1
49,191.0,1
50,214.0,1
51,198.0,1
52,202.0,1
53,13.0,1
54,27.0,1
55,21.0,1
56,33.0,1
57,31.0,1
58,47.0,1
59,47.0,1
60,2.0,1
61,7.0,1
62,19.0,1
63,7.0,1
64,7.0,1
65,0.0,1
66,0.0,1
